"tag","total_tweets","avg_unique_hashtag","avg_unique_mention","avg_unique_urls","avg_unique_media","avg_unique_symbol","avg_unique_anyentity","avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_anyentity","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"#Haemophilia","1960","0.3964","0.2776","0.3066","0.1944","0.0046","1.1796","3.2367","1.5168","0.8673","0.4561","0.0760","6.1531","3.4612","21.4184","0.1616"
"#Angiosarcoma","58","0.7931","0.3621","0.3103","0.1724","0.0172","1.6552","2.9655","1.3793","0.9138","0.6034","0.0172","5.8793","6.3966","21.2586","0.3009"
"#uterinecancer","133","0.9173","0.3383","0.2481","0.3008","0.0000","1.8045","5.3759","1.0301","0.9925","0.5038","0.0000","7.9023","4.7143","19.6165","0.2403"
"#NCDs","10440","0.1491","0.1786","0.1428","0.0955","0.0000","0.5661","3.7247","2.3068","0.8871","0.6550","0.0000","7.5736","1.5029","22.4360","0.0670"
"#HighBloodPressure","11964","0.3044","0.1730","0.2035","0.1765","0.0002","0.8577","4.1830","1.4905","0.7606","0.5906","0.0003","7.0251","1.8010","20.1972","0.0892"
"#Diverticulitis","196","1.0408","0.1990","0.2449","0.2296","0.0051","1.7194","4.3520","0.9847","0.7398","0.7653","0.0051","6.8469","4.6020","19.2245","0.2394"
"#Hantavirus","179","0.4581","0.2849","0.3966","0.1173","0.0000","1.2570","1.8939","1.0168","0.9665","0.2514","0.0000","4.1285","4.5140","19.3073","0.2338"
"#Carcinoma","306","1.5392","0.2647","0.4085","0.2190","0.0033","2.4346","6.8529","0.7876","0.9281","0.6242","0.0033","9.1961","5.4706","19.5229","0.2802"
"#DeviatedSeptum","22","1.3636","0.6818","0.3182","0.2727","0.0000","2.6364","4.0455","0.9091","0.3182","0.5455","0.0000","5.8182","9.1818","17.2727","0.5316"
"#PulmonaryHypertension","1122","0.3307","0.1845","0.2460","0.1747","0.0009","0.9367","3.5098","1.9073","0.9430","0.6239","0.0018","6.9857","3.0517","21.3529","0.1429"
"#osteonecrosis","34","0.8824","0.0882","0.2647","0.1471","0.0000","1.3824","4.3824","0.7941","1.0294","0.8529","0.0000","7.0588","4.6471","20.1765","0.2303"
"#Eclampsia","14","1.5000","0.2857","0.5714","0.2143","0.0000","2.5714","5.6429","0.4286","0.7857","0.4286","0.0000","7.2857","9.3571","24.0000","0.3899"
"#prostatitis","182","0.8791","0.1703","0.2033","0.1978","0.0000","1.4505","4.6978","1.0659","0.5220","0.5440","0.0000","6.8297","4.4835","20.1374","0.2226"
"#Neuroblastoma","3208","0.1540","0.2329","0.0814","0.1362","0.0012","0.6057","4.1450","1.9710","0.5440","0.8292","0.0053","7.4944","1.5041","22.4676","0.0669"
"#Raynauds","345","0.8638","0.3652","0.2203","0.2609","0.0000","1.7101","8.1855","1.5478","0.4957","0.5913","0.0000","10.8203","5.7304","22.9855","0.2493"
"#CarpalTunnelSyndrome","244","1.2541","0.4918","0.4385","0.3361","0.0000","2.5205","3.8033","0.7623","0.6926","0.4918","0.0000","5.7500","6.2992","19.0943","0.3299"
"#PTSD","61921","0.2145","0.2025","0.1352","0.1072","0.0009","0.6602","6.4894","2.0512","0.7147","0.5815","0.0036","9.8403","1.2805","21.8483","0.0586"
"#ARDS45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"#Encephalitis","718","0.6309","0.3788","0.2326","0.1630","0.0000","1.4053","4.0362","1.7646","0.7730","0.4916","0.0000","7.0655","3.9624","21.1560","0.1873"
"#erectiledysfunction","2889","0.4202","0.1000","0.2143","0.1959","0.0003","0.9304","4.9214","0.8750","0.9439","0.6597","0.0128","7.4129","2.2063","18.4784","0.1194"
"#PMDD","2442","0.2211","0.1572","0.1241","0.0905","0.0000","0.5930","3.2305","1.6589","0.7498","0.3084","0.0000","5.9476","2.4693","22.6339","0.1091"
"#Vasculitis","775","0.4735","0.3329","0.1832","0.1406","0.0000","1.1303","4.0155","1.7690","0.6206","0.5935","0.0000","6.9987","3.5045","20.1961","0.1735"
"#HendraVirus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"#RectalCancer","783","0.2043","0.2529","0.1149","0.0958","0.0000","0.6679","3.4176","3.1149","0.9055","0.7650","0.0000","8.2031","2.0613","18.6271","0.1107"
"unknown-#BTSM","8761","0.2352","0.2102","0.1982","0.1311","0.0003","0.7751","3.5346","1.6972","0.7289","0.4954","0.0008","6.4569","2.1089","21.3895","0.0986"
"#Herpes","1342","1.7228","0.2846","0.4985","0.3249","0.0000","2.8308","6.4247","0.8308","0.8525","0.5313","0.0000","8.6393","5.0030","21.7593","0.2299"
"#fragileX","666","0.3198","0.2598","0.1817","0.1381","0.0015","0.9009","2.8153","2.4429","0.9339","0.4324","0.0015","6.6261","3.0285","21.3844","0.1416"
"#BrainCancer","3914","0.3906","0.2537","0.2218","0.1640","0.0018","1.0319","6.1226","2.2517","0.7008","0.6479","0.0074","9.7305","2.6403","21.4147","0.1233"
"#Nocturia","187","0.3583","0.1444","0.1711","0.2353","0.0000","0.9091","3.3529","0.8289","0.6738","0.7647","0.0000","5.6203","3.7540","20.5187","0.1830"
"#BattenDisease","187","0.4278","0.3422","0.2460","0.1711","0.0000","1.1872","2.9572","1.9465","0.8128","0.4813","0.0000","6.1979","4.3316","20.0695","0.2158"
"#Aspergers","7206","0.3404","0.2029","0.1674","0.1134","0.0000","0.8240","5.2921","1.0898","0.5606","0.4840","0.0000","7.4266","2.1731","23.9598","0.0907"
"#Bronchitis","593","0.8078","0.1551","0.1467","0.1197","0.0000","1.2293","4.3406","0.7099","0.5649","0.3609","0.0000","5.9764","3.5481","17.8398","0.1989"
"#OCD","9800","0.4591","0.2410","0.1768","0.1490","0.0003","1.0261","5.8074","2.1628","0.5059","0.4415","0.0007","8.9184","2.5717","22.4117","0.1147"
"#headandneckcancer","496","0.5323","0.3488","0.3125","0.2298","0.0040","1.4274","3.6815","1.9274","0.9153","0.5806","0.0040","7.1089","4.5060","19.7359","0.2283"
"#Infertility","11585","0.3834","0.2140","0.3658","0.2638","0.0009","1.2279","4.6261","1.1717","0.8659","0.5088","0.0237","7.1961","2.6308","22.2460","0.1183"
"#Chikungunya","1435","0.3742","0.1554","0.1742","0.1017","0.0000","0.8056","4.1150","1.2481","1.2774","0.3491","0.0000","6.9895","2.0279","19.9087","0.1019"
