"tag","total_tweets","avg_unique_hashtag","avg_unique_mention","avg_unique_urls","avg_unique_media","avg_unique_symbol","avg_unique_anyentity","avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_anyentity","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"#hayfever","5917","0.3580","0.1533","0.1641","0.2180","0.0000","0.8934","4.7999","0.8440","0.4915","0.6953","0.0000","6.8307","2.2631","19.9692","0.1133"
"#PediatricStroke","387","0.5013","0.3049","0.2972","0.2016","0.0000","1.3049","3.4470","1.0672","0.7390","0.4574","0.0000","5.7106","5.0517","24.1628","0.2091"
"#SleepApnea","3031","0.5530","0.1785","0.2992","0.3240","0.0003","1.3550","5.6559","0.8951","0.8637","0.5417","0.0007","7.9571","3.0043","21.3982","0.1404"
"#Tinnitus","3204","0.3252","0.3152","0.1801","0.1689","0.0000","0.9894","3.5765","0.9217","0.8496","0.5009","0.0000","5.8486","2.4856","22.7169","0.1094"
"unknown-#hncsm","430","0.1674","0.2140","0.1860","0.1651","0.0000","0.7326","2.9977","1.3302","0.6535","0.7326","0.0000","5.7140","3.4698","19.8070","0.1752"
"#A2ZCOPD","7791","0.3000","0.2426","0.2163","0.1404","0.0022","0.9013","4.2573","1.4572","1.0155","0.5379","0.0131","7.2811","2.0141","19.7234","0.1021"
"#Osteosarcoma","300","0.6800","0.2600","0.2933","0.1867","0.0000","1.4200","3.9333","1.1800","0.9033","0.4800","0.0000","6.4967","5.2700","21.7400","0.2424"
"#CervicalCancer","9934","0.1775","0.1537","0.1604","0.0852","0.0009","0.5776","2.9111","1.9158","0.6293","0.4472","0.0013","5.9047","1.6660","21.8407","0.0763"
"#Angina","158","1.0633","0.4810","0.3671","0.1962","0.0000","2.1076","6.9114","1.3101","0.9557","0.5063","0.0000","9.6835","5.7911","22.6013","0.2562"
"#Spondylitis","560","0.3625","0.2143","0.2625","0.1768","0.0000","1.0161","4.5304","0.9554","0.7000","0.6589","0.0000","6.8446","3.7393","19.8839","0.1881"
"#AcuteCoronarySyndrome","45","0.5333","0.2889","0.2667","0.0667","0.0000","1.1556","3.0444","1.3111","0.8222","0.2889","0.0000","5.4667","4.3778","16.4889","0.2655"
"#sjogrens","327","1.0917","0.2661","0.2049","0.1407","0.0000","1.7034","8.9205","1.1865","0.5107","0.4404","0.0000","11.0581","5.6147","23.2324","0.2417"
"#HighCholesterol","383","0.8068","0.1671","0.2402","0.2010","0.0026","1.4178","5.1018","0.7363","0.6945","0.7023","0.0026","7.2376","3.9060","19.2559","0.2028"
"#CHD","3618","0.4306","0.2355","0.2070","0.1498","0.0019","1.0246","3.7847","1.6142","0.6871","0.6241","0.0055","6.7156","2.7839","22.0923","0.1260"
"#Restenosis","5","2.2000","0.8000","0.2000","0.2000","0.0000","3.4000","6.2000","1.6000","0.6000","0.6000","0.0000","9.0000","6.6000","16.0000","0.4125"
"#Scoliosis","1978","0.5116","0.2017","0.2194","0.2058","0.0000","1.1385","4.1183","1.5642","0.6092","0.6800","0.0000","6.9717","3.1471","21.1188","0.1490"
"unknown-#esocsm","47","0.3191","0.2128","0.3191","0.2766","0.0000","1.1277","2.8085","1.1489","1.0213","0.6596","0.0000","5.6383","5.3617","20.1915","0.2655"
"#CHF","1588","0.4679","0.1612","0.2173","0.2846","0.0088","1.1322","6.5321","0.8199","0.7985","0.5359","0.0598","8.7462","3.8948","20.1436","0.1934"
"#Fibroid","2408","0.4639","0.1811","0.2483","0.1458","0.0000","1.0390","4.0818","1.4091","0.7404","0.3754","0.0000","6.6067","2.6831","19.8783","0.1350"
"#LynchSyndrome","652","0.3206","0.2040","0.1917","0.1488","0.0000","0.8650","3.1227","1.1503","0.8252","0.6120","0.0000","5.7101","2.8942","19.2853","0.1501"
"#LQTS","113","0.9469","0.2920","0.2655","0.1150","0.0000","1.6195","4.3097","1.3451","1.0442","0.5752","0.0000","7.2743","4.4779","19.5044","0.2296"
"#Meningitis","2464","0.3994","0.2313","0.2025","0.1830","0.0004","1.0166","4.1055","1.8352","0.8048","0.6936","0.0004","7.4395","2.5398","22.0686","0.1151"
"#Diabesity","90362","0.1924","0.1723","0.2402","0.1674","0.0003","0.7726","3.9916","1.5189","0.8704","0.5221","0.0028","6.9058","1.4052","21.3808","0.0657"
"#Moyamoya","319","0.3636","0.1724","0.0909","0.0690","0.0000","0.6959","2.6364","1.2194","1.1442","0.2476","0.0000","5.2476","2.8182","22.1881","0.1270"
