"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"#SLE","696","0.5144","0.8305","13.6229","50.6548","0.0000","0.1201","18.4360","37.8260","0.0000","0.1592","1875.8603","4429.6889","0.0000","0.1201","1784.4689","6046.2280","0.0000","0.1125"
"#CIDP","62","0.5806","0.7258","11.1389","26.7412","0.0000","0.1667","37.9778","24.0227","0.0000","0.1333","1096.9444","1088.8601","0.0000","0.0278","1075.1333","1587.6965","0.0000","0.0667"
"#Crohns","5417","0.4305","0.8501","10.7401","54.7700","0.0000","0.1454","16.1164","38.7633","0.0000","0.1581","2883.1668","11973.3838","0.0000","0.1214","2318.7640","11250.1534","0.0000","0.1227"
"#CaudaEquina","42","0.4524","0.8095","28.7368","109.8326","0.0000","0.1579","3.8235","3.4486","0.0000","0.1765","1188.6316","1530.4230","0.0000","0.0000","1345.4706","3516.9733","0.0000","0.0882"
"#Haemochromatosis","70","0.4429","0.9000","9.9032","22.1801","0.0000","0.1290","4.6825","16.2527","0.0000","0.1905","1247.0000","2347.6821","0.0000","0.0645","1416.9365","3182.5889","0.0000","0.0952"
"#Leptospirosis","148","0.3919","0.8716","6.7586","9.0599","0.0000","0.0690","22.6822","5.3403","0.0000","0.1628","121681.8793","683616.8787","0.0000","0.0862","55609.5659","460156.7117","0.0000","0.1318"
"#CleftLip","570","0.2211","0.9018","3.8175","6.5169","0.0000","0.1349","2.7315","2.1258","-1.0000","-1.0000","12143.1508","101550.8227","0.0000","0.1190","1930.6226","18395.9285","0.0000","0.1167"
"#SIDS","1715","0.3044","0.8968","10.8065","51.0453","0.0000","0.1418","18.7939","30.0147","-1.0000","-1.0000","8284.4119","58199.1946","0.0000","0.1303","4651.2406","38446.8332","0.0000","0.1112"
"#Osteoarthritis","2004","0.5095","0.7794","15.0118","65.3323","0.0000","0.1283","19.6472","50.9583","0.0000","0.1517","4341.4770","24607.3742","0.0000","0.1273","2572.7350","18367.1722","0.0000","0.1293"
"#PeanutAllergy","307","0.6352","0.7492","12.3487","33.2346","0.0000","0.1385","12.0696","13.5627","0.0000","0.1261","13786.7487","137752.5769","0.0000","0.1077","11566.0870","126727.2445","0.0000","0.1087"
"#OsteogenesisImperfecta","147","0.4490","0.7891","4.8485","8.7270","0.0000","0.0909","6.0086","5.4694","0.0000","0.1121","1176.4394","1871.5313","0.0000","0.1212","2832.0259","12561.5965","0.0000","0.1293"
"#ShakenBabyFacts","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
