"tag","total","%_retweeted","avg_rt_freq","%_liked","avg_like_freq","%_replied","avg_reply_freq","%_interacted","avg_interact_freq","as_replies","as_quotes"
"#Haemochromatosis","66","0.9242","4.1818","0.2727","1.0455","0.0000","0.0000","1.0000","5.2273","0.0455","0.2576"
"#Leptospirosis","97","0.9588","11.0515","0.1753","1.5876","0.0000","0.0000","1.0000","12.6392","0.0000","0.1546"
"#CleftLip","326","0.8650","72.0337","0.2086","6.3558","0.0000","0.0000","1.0000","78.3896","0.0000","0.0460"
"#SIDS","1451","0.9545","16.5934","0.1675","1.0517","0.0000","0.0000","1.0000","17.6451","0.0069","0.1420"
"#Osteoarthritis","1764","0.8679","8.4456","0.3101","1.5822","0.0000","0.0000","1.0000","10.0278","0.0215","0.1332"
"#PeanutAllergy","167","0.8263","4.3473","0.3593","1.6108","0.0000","0.0000","1.0000","5.9581","0.0120","0.1976"
"#OsteogenesisImperfecta","125","0.8400","6.6080","0.3360","2.4480","0.0000","0.0000","1.0000","9.0560","0.0000","0.2000"
"#ShakenBabyFacts","0","0","0","0","0","0","0","0","0",,
"#SystemicSclerosis","19","0.7368","2.0526","0.6316","1.4211","0.0000","0.0000","1.0000","3.4737","0.0000","0.1579"
"#Asbestosis","59","0.8983","3.3051","0.3390","0.8305","0.0000","0.0000","1.0000","4.1356","0.0000","0.0678"
"#MemoryLoss","245","0.8000","13.7020","0.3551","1.5184","0.0000","0.0000","1.0000","15.2204","0.0245","0.0816"
"#CowdensSyndrome","8","1.0000","2.2500","0.2500","0.6250","0.0000","0.0000","1.0000","2.8750","0.0000","0.0000"
"#Duchenne","573","0.9145","7.6195","0.2565","1.7277","0.0000","0.0000","1.0000","9.3473","0.0105","0.1693"
"#Melanoma","4501","0.9018","20.6645","0.2502","1.2519","0.0000","0.0000","1.0000","21.9165","0.0102","0.1224"
"#hypophosphatasia","12","0.9167","1.7500","0.3333","3.0000","0.0000","0.0000","1.0000","4.7500","0.0000","0.3333"
"#EhlersDanlos","600","0.8200","10.4517","0.3267","1.4350","0.0000","0.0000","1.0000","11.8867","0.0283","0.2367"
"#IOMCardiacArrest","864","0.8935","15.1725","0.2454","1.7697","0.0000","0.0000","1.0000","16.9421","0.0104","0.1991"
"#STEMI","228","0.9254","9.5482","0.2281","1.7193","0.0000","0.0000","1.0000","11.2675","0.0351","0.1360"
"#Tuberculosis","2138","0.9654","15.0168","0.1628","1.1731","0.0000","0.0000","1.0000","16.1899","0.0047","0.0879"
"#FGID","154","0.9675","8.6364","0.2792","1.3961","0.0000","0.0000","1.0000","10.0325","0.0065","0.3117"
"#IIH","186","0.9086","9.1989","0.2312","1.3333","0.0000","0.0000","1.0000","10.5323","0.0323","0.2312"
"#Pompe","14","0.9286","2.3571","0.3571","1.1429","0.0000","0.0000","1.0000","3.5000","0.0714","0.2143"
"#varicocele","15","0.6000","0.9333","0.6000","1.2000","0.0000","0.0000","1.0000","2.1333","0.0000","0.0000"
"#Narcolepsy","476","0.6492","3.8193","0.4790","1.4727","0.0000","0.0000","1.0000","5.2920","0.1513","0.3088"
"#Dementia","31313","0.9163","259.4695","0.2287","1.2771","0.0000","0.0000","1.0000","260.7466","0.0110","0.1573"
"#Hypermobility","224","0.7813","4.0446","0.4063","1.1741","0.0000","0.0000","1.0000","5.2188","0.0089","0.1518"
"#antiNMDAr","14","0.9286","5.4286","0.1429","0.1429","0.0000","0.0000","1.0000","5.5714","0.0000","0.2143"
"#MacularDegeneration","157","0.8790","4.4777","0.3503","1.2166","0.0000","0.0000","1.0000","5.6943","0.0000","0.0510"
"#Preeclampsia","596","0.9077","7.9950","0.2634","1.3624","0.0000","0.0000","1.0000","9.3574","0.0134","0.1544"
"unknown-#TCisNoJoke","1073","0.9329","109.8583","0.2414","1.3765","0.0000","0.0000","1.0000","111.2349","0.0447","0.1044"
"#Endometriosis","3941","0.8419","12.7209","0.3316","1.5917","0.0000","0.0000","1.0000","14.3126","0.0307","0.1489"
"#GERD","598","0.8712","4.6806","0.3261","1.0000","0.0000","0.0000","1.0000","5.6806","0.0502","0.1187"
"#Pemphigus","7","0.8571","2.2857","0.4286","1.1429","0.0000","0.0000","1.0000","3.4286","0.0000","0.1429"
"#PTEN","130","0.8846","5.1308","0.3077","1.1692","0.0000","0.0000","1.0000","6.3000","0.0538","0.1231"
"#Carcinoid","48","0.9583","5.6042","0.2500","2.0208","0.0000","0.0000","1.0000","7.6250","0.0208","0.3333"
"#Gout","656","0.5229","2.1890","0.6082","1.0152","0.0000","0.0000","1.0000","3.2043","0.0122","0.0335"
"#Atherosclerosis","402","0.8930","17.7114","0.3035","1.4254","0.0000","0.0000","1.0000","19.1368","0.0075","0.1020"
"#CGRP","288","0.8576","5.7604","0.3194","1.5035","0.0000","0.0000","1.0000","7.2639","0.0347","0.1875"
"#adenomyosis","106","0.8113","5.2264","0.3491","3.2170","0.0000","0.0000","1.0000","8.4434","0.0472","0.1604"
"#Peyronies","51","0.8824","2.9216","0.2745","0.9020","0.0000","0.0000","1.0000","3.8235","0.0196","0.0392"
"#Thrombosis","649","0.9584","6.2373","0.2280","1.2589","0.0000","0.0000","1.0000","7.4961","0.0062","0.1864"
"#PsoriaticArthritis","371","0.8410","5.6119","0.3315","1.5391","0.0000","0.0000","1.0000","7.1509","0.0081","0.1024"
"#fracture","313","0.8850","9.0032","0.2620","1.1789","0.0000","0.0000","1.0000","10.1821","0.0096","0.1118"
"#FacialDisfigurement","14","0.5714","1.9286","0.5714","3.0714","0.0000","0.0000","1.0000","5.0000","0.0000","0.1429"
"#Retinoblastoma","197","0.9391","5.2893","0.2843","1.2437","0.0000","0.0000","1.0000","6.5330","0.0000","0.0609"
"#Sarcoidosis","256","0.9141","9.3828","0.2500","1.3867","0.0000","0.0000","1.0000","10.7695","0.0156","0.1289"
"#sarcoma","530","0.8925","12.1811","0.2755","1.9170","0.0000","0.0000","1.0000","14.0981","0.0302","0.1849"
"#Celiac","2687","0.7845","5.6468","0.3863","1.6982","0.0000","0.0000","1.0000","7.3450","0.0394","0.1228"
"#Deafness","528","0.8977","104.7917","0.2273","0.8447","0.0000","0.0000","1.0000","105.6364","0.0038","0.0947"
"#HepB","4329","0.9249","11.2869","0.2289","1.0536","0.0000","0.0000","1.0000","12.3405","0.0113","0.1661"
"#Urticaria","52","0.6346","5.6538","0.4615","0.8654","0.0000","0.0000","1.0000","6.5192","0.0192","0.0577"
"#SCADheart","48","0.8125","2.8542","0.4167","1.2500","0.0000","0.0000","1.0000","4.1042","0.0417","0.3750"
"#Cirrhosis","336","0.8958","10.7738","0.2381","0.8720","0.0000","0.0000","1.0000","11.6458","0.0030","0.1429"
"#AnosmiaHope","0","0","0","0","0","0","0","0","0",,
"#VisualSnow","132","0.9470","17.2500","0.1061","1.0455","0.0000","0.0000","1.0000","18.2955","0.0152","0.0152"
"#microcephaly","27","0.8889","3.3704","0.3704","1.2593","0.0000","0.0000","1.0000","4.6296","0.0370","0.2963"
"#myopiacontrol","25","0.6400","2.8800","0.5200","1.3600","0.0000","0.0000","1.0000","4.2400","0.0800","0.0000"
"#MERS","160","0.9438","7.5313","0.2250","0.9625","0.0000","0.0000","1.0000","8.4938","0.0125","0.1750"
"#Cushings","27","0.8148","2.2222","0.4815","1.4815","0.0000","0.0000","1.0000","3.7037","0.0000","0.2593"
"#PanCan","4062","0.9222","7.9948","0.2484","1.7368","0.0000","0.0000","1.0000","9.7317","0.0236","0.2403"
"#takotsubo","15","0.9333","3.2667","0.1333","0.3333","0.0000","0.0000","1.0000","3.6000","0.0000","0.2000"
"#MRKH","16","0.7500","2.2500","0.5000","1.2500","0.0000","0.0000","1.0000","3.5000","0.0000","0.0625"
"#acousticneuroma","80","0.9125","7.1375","0.2500","1.4625","0.0000","0.0000","1.0000","8.6000","0.0250","0.1875"
"#CryptogenicStroke","34","0.9118","5.6471","0.2059","0.3235","0.0000","0.0000","1.0000","5.9706","0.0000","0.1765"
"#pleuralEffusion","3","1.0000","4.0000","0.0000","0.0000","0.0000","0.0000","1.0000","4.0000","0.0000","0.0000"
"#MoebiusSyndrome","12","0.9167","7.0000","0.2500","5.0833","0.0000","0.0000","1.0000","12.0833","0.0000","0.0000"
"#Obesity","19188","0.9110","85.4449","0.2054","1.9327","0.0000","0.0000","1.0000","87.3776","0.0122","0.2461"
"#Shingles","471","0.8429","11.6752","0.2824","0.8811","0.0000","0.0000","1.0000","12.5563","0.0191","0.0658"
"#Arachnoiditis","128","0.9453","21.4063","0.1953","1.4453","0.0000","0.0000","1.0000","22.8516","0.0859","0.1484"
"#EDS","3070","0.8466","21.0349","0.3013","1.5906","0.0000","0.0000","1.0000","22.6254","0.0436","0.2518"
"unknown-#hpbcsm","16","0.8125","3.3125","0.2500","0.2500","0.0000","0.0000","1.0000","3.5625","0.0000","0.0000"
"#Hyperglycemia","74","0.9730","9.5541","0.1351","1.0811","0.0000","0.0000","1.0000","10.6351","0.0135","0.0676"
"#Hodgkin","1772","0.9103","6.8561","0.2432","1.2635","0.0000","0.0000","1.0000","8.1196","0.0085","0.1225"
"#Ichthyosis","77","0.8701","2.2597","0.4286","1.1818","0.0000","0.0000","1.0000","3.4416","0.0000","0.0779"
"#SecondaryInfertility","43","0.8140","4.1163","0.4186","0.8372","0.0000","0.0000","1.0000","4.9535","0.0233","0.0465"
"#TBI","6303","0.9183","124.8645","0.2083","2.8117","0.0000","0.0000","1.0000","127.6762","0.0257","0.1391"
"#Leprosy","647","0.9304","13.4606","0.2164","1.7202","0.0000","0.0000","1.0000","15.1808","0.0201","0.0665"
"#StiffPersonSyndrome","2","1.0000","3.5000","0.0000","0.0000","0.0000","0.0000","1.0000","3.5000","0.0000","0.5000"
"#Chiari","157","0.8854","9.3376","0.2611","0.9490","0.0000","0.0000","1.0000","10.2866","0.0255","0.1656"
"#CancerChat","3079","0.9886","29.1117","0.1056","0.9552","0.0000","0.0000","1.0000","30.0669","0.0010","0.1267"
"#Marfan","152","0.9342","5.8026","0.2368","1.8355","0.0000","0.0000","1.0000","7.6382","0.0132","0.0987"
"unknown-#PCSM","5760","0.9132","11.5859","0.2512","1.4575","0.0000","0.0000","1.0000","13.0434","0.0123","0.1380"
"#ALS","8510","0.9174","25.5951","0.2311","1.8333","0.0000","0.0000","1.0000","27.4283","0.0207","0.2074"
"#UTI","4710","0.7739","12.4807","0.3841","3.5622","0.0000","0.0000","1.0000","16.0429","0.0527","0.1338"
