"%_retweeted","avg_rt_freq","%_liked","avg_like_freq","avg_interact_freq","as_replies","as_quotes"
"0.7778","2.3333","0.5556","1.4444","3.7778","0.0556","0.0000"
"0.8968","17.7059","0.2950","1.8909","19.5969","0.0136","0.2045"
"0.8477","3.9518","0.3934","1.0000","4.9518","0.0051","0.0228"
"0.9000","11.5250","0.2750","1.0000","12.5250","0.0000","0.1125"
"0.8886","81.6377","0.2645","1.9442","83.5819","0.0255","0.1624"
"0.2857","0.8571","0.7143","0.8571","1.7143","0.0000","0.0000"
"0.9364","16.6930","0.2210","1.5016","18.1946","0.0191","0.2532"
"0.8469","226.3501","0.3098","1.8503","228.2004","0.0250","0.1084"
"0.8976","8.9249","0.2799","1.5256","10.4505","0.0102","0.1195"
"0.9615","115.5742","0.1099","0.6071","116.1813","0.0055","0.1566"
"0.7360","2.3299","0.4264","1.7310","4.0609","0.0355","0.1117"
"0.7359","3.2165","0.4719","1.6926","4.9091","0.1126","0.2165"
"0.7500","2.1429","0.2857","0.5000","2.6429","0.2143","0.0000"
"0.7250","8.1600","0.4200","1.1900","9.3500","0.0100","0.0375"
"0.8455","9.6294","0.3046","1.0345","10.6639","0.0180","0.1110"
"0.8818","7.6573","0.2665","1.0641","8.7214","0.0080","0.0962"
"0.8000","11.4545","0.3273","0.9273","12.3818","0.0182","0.0000"
"0.7830","2.1604","0.4717","1.0566","3.2170","0.0094","0.0283"
"0.8626","5.9581","0.3124","1.1968","7.1549","0.0159","0.1600"
"0.8949","59.1259","0.2510","1.3133","60.4391","0.0097","0.1259"
"0.9177","6.0127","0.2848","1.2468","7.2595","0.0000","0.0949"
"0.9091","5.5000","0.2576","1.5455","7.0455","0.0000","0.2121"
"0.9377","13.6913","0.2086","1.0418","14.7331","0.0092","0.1145"
"0.9047","10.3209","0.2316","0.9598","11.2807","0.0030","0.0581"
"0.8317","22.1402","0.3388","1.5250","23.6652","0.0270","0.1115"
"0.9497","18.0014","0.1595","1.0503","19.0516","0.0074","0.1042"
"0.9762","4.6190","0.0952","0.5476","5.1667","0.0000","0.0238"
"0.8832","17.6983","0.2808","1.4829","19.1812","0.0118","0.1183"
"0.9567","6.9904","0.2115","1.0529","8.0433","0.0192","0.2644"
"0.8781","10.9114","0.2593","1.7846","12.6959","0.0172","0.0808"
"0.9530","50.9458","0.1530","1.1382","52.0840","0.0193","0.1409"
"0.8976","15.1685","0.2358","1.1222","16.2906","0.0122","0.1077"
"0.9271","13.4808","0.2354","1.4861","14.9668","0.0212","0.1671"
"0.8208","121.5170","0.2895","1.1943","122.7113","0.0177","0.0491"
"0.8177","4.5525","0.3702","1.2762","5.8287","0.0331","0.1878"
"0.8445","10.9980","0.3248","1.2126","12.2106","0.0138","0.0955"
"0.8305","4.2203","0.3559","1.9322","6.1525","0.0169","0.1525"
"0.8920","5.9034","0.2443","1.2841","7.1875","0.0511","0.0398"
"0.8644","16.5775","0.2942","2.1380","18.7155","0.0195","0.1830"
"0.8089","6.8803","0.3707","1.3610","8.2413","0.0251","0.0695"
"0.8791","7.8171","0.2831","1.1725","8.9897","0.0227","0.1074"
"0.8585","10.8585","0.2954","5.6800","16.5385","0.0123","0.1292"
"0.8418","6.5689","0.3353","1.6938","8.2627","0.0073","0.1234"
"0.9800","18.0600","0.1200","0.8200","18.8800","0.0000","0.2000"
"0.7638","2.7323","0.4331","1.3543","4.0866","0.0630","0.2598"
"0.9676","2091.4488","0.0814","0.3950","2091.8439","0.0067","0.0876"
"0.9072","5.1605","0.2725","1.4993","6.6598","0.0059","0.1340"
"0.9597","35.8814","0.1420","1.4409","37.3223","0.0095","0.1040"
"0.8973","348.5788","0.1541","0.3596","348.9384","0.0171","0.0171"
"0.8684","2.5000","0.3421","2.0263","4.5263","0.0000","0.0526"
"0.8724","13.8285","0.2904","1.2096","15.0380","0.0149","0.1211"
"0.8495","3.3548","0.3226","0.7634","4.1183","0.0108","0.0968"
"0.9211","4.6053","0.2105","1.2368","5.8421","0.0263","0.2105"
"0.8305","12.5833","0.3548","1.3639","13.9472","0.0091","0.0494"
"0.9568","28.9668","0.1338","0.9747","29.9415","0.0332","0.2054"
"0.9722","4.8333","0.2500","1.1944","6.0278","0.0000","0.0000"
"0.8545","4.9273","0.3636","1.4000","6.3273","0.0364","0.2545"
"0.6620","1.8944","0.5563","1.3803","3.2746","0.0211","0.1268"
"0.9438","29.6769","0.1675","1.9736","31.6505","0.0365","0.2535"
"0.9187","19.0754","0.2401","1.6498","20.7252","0.0119","0.2163"
"0.9611","153.3423","0.1133","1.1914","154.5337","0.0103","0.2199"
"0.8758","98.9530","0.2870","1.6144","100.5674","0.0141","0.1759"
"0.8908","18.9412","0.2689","1.4706","20.4118","0.0000","0.0672"
"0.8246","2.9621","0.4313","1.6493","4.6114","0.0332","0.0948"
"0.9034","78.9929","0.2229","2.1211","81.1140","0.0082","0.1434"
"0.9249","6.6109","0.2662","1.1638","7.7747","0.0068","0.1604"
"0.8049","10.5854","0.2195","0.8293","11.4146","0.0000","0.0732"
"0.9074","6.5339","0.2959","1.5372","8.0711","0.0165","0.1636"
"0.9294","19.5682","0.2065","1.6548","21.2230","0.0151","0.2667"
"0.9323","20.8596","0.2131","1.2187","22.0783","0.0068","0.1206"
"0.9189","6.7568","0.2973","1.6396","8.3964","0.0090","0.1261"
"0.9522","23.4689","0.1722","0.8038","24.2727","0.0096","0.1005"
"0.8429","13.7911","0.3408","2.1004","15.8915","0.0116","0.1298"
"0.8902","7.1503","0.3140","1.5337","8.6839","0.0155","0.1689"
"0.8889","2.7778","0.2500","3.0833","5.8611","0.0556","0.0833"
"0.9560","23.5496","0.1691","1.2160","24.7656","0.0100","0.2024"
"0.9116","18.7894","0.2311","1.0944","19.8837","0.0167","0.0827"
"0.9420","25.5942","0.2319","1.4203","27.0145","0.0000","0.1014"
"0.8346","6.8976","0.3150","1.0079","7.9055","0.0079","0.1417"
"0.8968","6.0102","0.2995","1.5008","7.5110","0.0102","0.0964"
"0.9726","28.5955","0.1758","2.0712","30.6667","0.0103","0.1959"
"0.7089","2.6203","0.4684","1.4304","4.0506","0.0127","0.1899"
"0.9135","15.4081","0.2703","2.0135","17.4216","0.0000","0.1649"
"0.8756","227.3466","0.1949","0.5547","227.9013","0.0066","0.0846"
"0.9777","15.1002","0.1336","1.2873","16.3875","0.0022","0.1804"
"0.8764","9.4002","0.2819","1.6296","11.0298","0.0401","0.1764"
"0.8895","30.5751","0.2578","2.1983","32.7734","0.0510","0.3938"
"0.9191","56.2253","0.2112","1.2326","57.4579","0.0107","0.1719"
"0.9355","4.1720","0.2366","0.8817","5.0538","0.0000","0.0000"
"0.8746","308.6905","0.2856","2.3447","311.0352","0.0181","0.1812"
"0.8253","6.6928","0.3253","2.0663","8.7590","0.0060","0.0120"
"0.6881","17.4690","0.4412","2.1083","19.5773","0.0525","0.0972"
"0.7848","6.0302","0.3940","1.5897","7.6198","0.0118","0.1223"
"0.9178","26.9957","0.2267","1.1338","28.1295","0.0166","0.1572"
"0.9603","225.1624","0.1275","5.3352","230.4976","0.0019","0.0907"
"0.9304","36.3827","0.1640","1.7217","38.1044","0.0020","0.0676"
"0.8393","5.5893","0.2857","1.2679","6.8571","0.0000","0.0357"
"0.8877","4.1906","0.3264","1.1436","5.3342","0.0157","0.1880"
"0.9086","8.4515","0.2809","1.3611","9.8127","0.0117","0.2207"
"0.9120","14.7531","0.2421","1.0709","15.8240","0.0049","0.0416"
"0.8937","5.3762","0.3063","1.6556","7.0317","0.0175","0.0889"
"0.8846","3.6154","0.3077","0.7692","4.3846","0.0385","0.1154"
"0.9242","4.1818","0.2727","1.0455","5.2273","0.0455","0.2576"
"0.9545","16.5934","0.1675","1.0517","17.6451","0.0069","0.1420"
"0.8263","4.3473","0.3593","1.6108","5.9581","0.0120","0.1976"
"0.8400","6.6080","0.3360","2.4480","9.0560","0.0000","0.2000"
"0.8983","3.3051","0.3390","0.8305","4.1356","0.0000","0.0678"
"0.9145","7.6195","0.2565","1.7277","9.3473","0.0105","0.1693"
"0.9018","20.6645","0.2502","1.2519","21.9165","0.0102","0.1224"
"0.8935","15.1725","0.2454","1.7697","16.9421","0.0104","0.1991"
"0.9654","15.0168","0.1628","1.1731","16.1899","0.0047","0.0879"
"0.9675","8.6364","0.2792","1.3961","10.0325","0.0065","0.3117"
"0.6000","0.9333","0.6000","1.2000","2.1333","0.0000","0.0000"
"0.6492","3.8193","0.4790","1.4727","5.2920","0.1513","0.3088"
"0.8419","12.7209","0.3316","1.5917","14.3126","0.0307","0.1489"
"0.8846","5.1308","0.3077","1.1692","6.3000","0.0538","0.1231"
"0.9583","5.6042","0.2500","2.0208","7.6250","0.0208","0.3333"
"0.5229","2.1890","0.6082","1.0152","3.2043","0.0122","0.0335"
"0.8930","17.7114","0.3035","1.4254","19.1368","0.0075","0.1020"
"0.8576","5.7604","0.3194","1.5035","7.2639","0.0347","0.1875"
"0.8113","5.2264","0.3491","3.2170","8.4434","0.0472","0.1604"
"0.8410","5.6119","0.3315","1.5391","7.1509","0.0081","0.1024"
"0.8850","9.0032","0.2620","1.1789","10.1821","0.0096","0.1118"
"0.9391","5.2893","0.2843","1.2437","6.5330","0.0000","0.0609"
"0.9141","9.3828","0.2500","1.3867","10.7695","0.0156","0.1289"
"0.8977","104.7917","0.2273","0.8447","105.6364","0.0038","0.0947"
"0.8958","10.7738","0.2381","0.8720","11.6458","0.0030","0.1429"
"0.9470","17.2500","0.1061","1.0455","18.2955","0.0152","0.0152"
"0.6400","2.8800","0.5200","1.3600","4.2400","0.0800","0.0000"
"0.9438","7.5313","0.2250","0.9625","8.4938","0.0125","0.1750"
"0.9222","7.9948","0.2484","1.7368","9.7317","0.0236","0.2403"
"0.9125","7.1375","0.2500","1.4625","8.6000","0.0250","0.1875"
"0.9114","57.0236","0.2119","1.3825","58.4061","0.0134","0.1881"
"0.9453","21.4063","0.1953","1.4453","22.8516","0.0859","0.1484"
"0.9103","6.8561","0.2432","1.2635","8.1196","0.0085","0.1225"
"0.8140","4.1163","0.4186","0.8372","4.9535","0.0233","0.0465"
"0.8854","9.3376","0.2611","0.9490","10.2866","0.0255","0.1656"
"0.9342","5.8026","0.2368","1.8355","7.6382","0.0132","0.0987"
"0.9132","11.5859","0.2512","1.4575","13.0434","0.0123","0.1380"
"0.9174","25.5951","0.2311","1.8333","27.4283","0.0207","0.2074"
"0.7739","12.4807","0.3841","3.5622","16.0429","0.0527","0.1338"
"1.0000","56.0000","0.0294","2.2941","58.2941","0.0000","0.0000"
"0.8655","7.7451","0.3159","1.3398","9.0850","0.0097","0.1619"
"0.9102","97.0962","0.2244","1.9368","99.0330","0.0147","0.1303"
"0.8503","20.6998","0.3005","2.2084","22.9082","0.0272","0.1002"
"0.9065","172.5116","0.1900","3.6435","176.1550","0.0093","0.4263"
"0.7265","1.5983","0.5043","1.1538","2.7521","0.0000","0.0085"
"0.0851","0.5532","0.9149","0.9574","1.5106","0.0000","0.0213"
"0.7288","5.1018","0.4344","1.6172","6.7190","0.0141","0.0963"
"0.9474","224.3408","0.1672","2.1192","226.4600","0.0087","0.0872"
"0.9064","12.7235","0.2672","1.4136","14.1371","0.0134","0.1248"
"0.9340","13.9832","0.1866","0.9948","14.9780","0.0073","0.1006"
"0.8613","6.4825","0.3305","1.4560","7.9385","0.0157","0.1496"
"0.9394","5.5072","0.2455","1.2479","6.7551","0.0102","0.1297"
"0.9032","61.4854","0.2498","1.5484","63.0338","0.0146","0.1510"
"0.7714","1.9714","0.4286","1.1143","3.0857","0.0286","0.1714"
"0.9872","3.2115","0.1282","0.1795","3.3910","0.0000","0.0000"
"0.9245","18.9293","0.1994","1.7928","20.7222","0.0252","0.1578"
"0.9189","7.6126","0.3063","2.1081","9.7207","0.0000","0.0270"
"0.8266","48.5057","0.3312","1.1065","49.6122","0.0032","0.1207"
"0.9216","15.5049","0.2059","1.2729","16.7778","0.0180","0.1471"
