"avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"3.4855","2.0702","0.6462","0.6532","0.0223","1.8932","21.2555","0.0891"
"4.3000","0.7000","0.8600","0.5100","0.0000","6.0300","19.7700","0.3050"
"4.7467","0.9305","0.9190","0.5355","0.0000","3.8104","21.5977","0.1764"
"6.4235","1.8259","0.4376","0.9412","0.0188","1.8847","17.7271","0.1063"
"8.1569","3.5098","0.7451","0.5490","0.0000","11.1176","24.0980","0.4614"
"2.4274","1.4583","0.9745","0.6640","0.0000","2.3024","18.6761","0.1233"
"3.3064","1.3847","0.9342","0.5305","0.0025","1.5615","18.0172","0.0867"
"5.5171","1.2531","0.8558","0.6378","0.0000","1.7194","21.7893","0.0789"
"4.1945","1.2918","0.6748","0.6565","0.0000","5.3830","22.0881","0.2437"
"7.6008","0.7126","0.4856","0.5466","0.0000","4.0141","21.9718","0.1827"
"2.2598","0.9662","0.7455","0.3083","0.0000","5.2693","20.7360","0.2541"
"3.6923","2.2012","1.6095","0.6036","0.0000","2.8935","19.5325","0.1481"
"3.9584","0.9944","0.7798","0.6772","0.0000","3.3885","21.4783","0.1578"
"2.8671","0.9304","0.6013","0.4367","0.0000","6.0380","19.5190","0.3093"
"9.5000","0.9244","1.0814","0.2733","0.0000","3.9651","26.1628","0.1516"
"4.2515","1.6671","0.8159","0.4346","0.0035","2.1060","21.0025","0.1003"
"1.9438","0.9101","1.0000","0.4607","0.0000","7.2022","21.7978","0.3304"
"3.8414","1.1988","0.7553","0.4565","0.0040","2.7726","20.7930","0.1333"
"3.2222","1.8611","1.0278","0.7685","0.0000","4.9815","13.1667","0.3783"
"3.4648","1.6236","0.8771","0.5617","0.0066","2.3365","20.1016","0.1162"
"4.2407","0.6296","0.6852","0.2407","0.0000","9.0370","24.2222","0.3731"
"3.0639","1.9819","0.8975","0.6335","0.0093","2.8580","22.7008","0.1259"
"2.3671","0.6408","0.5026","0.2755","0.0000","2.9217","17.8512","0.1637"
"4.3274","1.0281","0.6650","0.4910","0.0000","4.4680","21.1432","0.2113"
"3.6560","1.4573","0.8109","0.5494","0.0048","1.3886","21.5722","0.0644"
"2.0733","0.0293","0.3553","0.0440","0.0000","1.8462","13.1612","0.1403"
"2.9362","2.1556","0.8091","0.5651","0.0043","1.4382","20.1504","0.0714"
"5.8467","1.2040","0.5611","0.4663","0.0005","1.7256","22.4353","0.0769"
"4.1278","2.6196","0.7935","0.6270","0.0089","4.1441","20.8841","0.1984"
"3.4022","1.5237","0.3966","0.8087","0.0000","1.8534","18.2793","0.1014"
"4.2456","0.9358","0.7699","0.4469","0.0000","5.9292","21.4336","0.2766"
"3.7467","1.4272","0.7259","0.3800","0.0000","5.6144","23.9811","0.2341"
"6.0244","0.3293","0.8049","0.3415","0.0244","7.5854","23.7805","0.3190"
