"%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers+"
"0.3289","0.8904","17.6423","82.2799","0.1057","13.5526","19.5573","-1.0000","57766.4919","770981.1855","0.1748","5209.2868","53060.4880","0.1396"
"0.2494","0.9561","25.7923","160.8102","0.1535","20.1478","79.6416","-1.0000","9113.9300","54326.5564","0.1287","6032.4959","21856.0624","0.1331"
"0.8065","0.3710","18.0000","55.4175","0.1200","2.8696","4.1883","0.0435","1803.8600","5278.4100","0.1200","867.0435","1233.3755","0.0870"
"0.4179","0.8794","14.5149","49.3629","0.1240","16.5765","29.8121","0.1792","8178.3735","64698.6171","0.1189","4914.4748","44547.9345","0.1306"
"0.5417","0.8333","7.1923","15.2473","0.1154","15.0250","12.7838","0.1750","10034.2308","31316.7235","0.1538","12324.7750","34582.5957","0.1750"
"0.3520","0.9054","8.5719","43.5995","0.1490","14.4854","27.2367","0.1232","4500.3973","45336.5436","0.1336","2493.2603","9703.2398","0.1345"
"0.3376","0.8692","7.1816","33.2751","0.1299","7.5340","19.2046","-1.0000","4574.6655","30050.0731","0.1233","3455.5168","25370.2072","0.1277"
"0.3427","0.7343","16.9796","38.0353","0.1429","17.2000","7.6654","-1.0000","3311.3061","10288.4561","0.1224","702.0190","2706.0054","0.2190"
"0.4671","0.9655","9.5973","16.7227","0.1611","16.9675","12.3119","0.1169","6459.9866","24973.2373","0.1342","3543.5812","17625.9605","0.1461"
"0.3847","0.8583","12.5937","60.7724","0.1242","14.4886","36.2746","0.1398","5564.1242","32593.4748","0.1259","3529.4650","37458.1048","0.1357"
"0.3920","0.9040","29.3469","63.9719","0.1633","59.8319","34.1921","0.1150","6765.0816","22768.9623","0.1224","4352.5929","16332.0454","0.1150"
"0.3380","0.9196","18.3056","78.6300","0.1316","17.8238","46.7566","0.1540","5563.3841","24420.7471","0.1280","2446.1474","15000.7889","0.1221"
"0.3539","0.9247","11.6710","26.9988","0.1226","19.5012","13.6365","0.1556","4123.4323","12950.9362","0.1290","2343.8667","8782.3114","0.1284"
"0.4862","0.8261","10.5203","32.0449","0.0650","46.6411","25.1369","0.1531","2717.0325","5525.7911","0.0976","3031.8660","6377.2180","0.0909"
"0.7051","0.7308","32.7818","150.1171","0.1273","107.7368","147.7404","0.1228","1731.1273","3806.2925","0.0727","1736.7544","3793.4167","0.1228"
"0.8485","0.2727","4.9286","8.4016","0.1786","6.5556","6.5383","-1.0000","1927.5714","7144.0886","0.1071","2419.1111","6301.9075","-1.0000"
"0.2819","0.9343","10.5019","31.1231","0.1262","10.5026","15.8243","-1.0000","39758.5301","520111.1397","0.1456","9565.0103","198163.5221","0.1309"
"0.5133","0.8067","15.9740","40.5479","0.1212","26.6364","27.5392","0.1460","5021.7359","35321.2494","0.1126","3609.6171","28322.2518","0.1129"
"0.3423","0.8828","16.7570","83.5871","0.1262","16.2811","49.7258","0.1339","4042.4478","12552.6025","0.1396","3053.1640","40522.8177","0.1423"
"0.7647","1.0000","19.5385","28.9941","0.1154","25.1471","26.6014","0.0882","1570.9231","2509.9501","0.1154","1331.9706","2244.2018","0.1176"
"0.4033","0.8799","18.7377","101.6830","0.1479","19.4123","39.3460","0.1881","6829.5562","46534.7313","0.1026","3484.8255","25010.5409","0.1121"
"0.4404","0.8990","32.1059","119.2749","0.1176","44.3833","84.3482","0.1902","3663.3824","10008.9912","0.1235","2337.6484","7680.2838","0.1210"
"0.4375","0.7563","11.5214","29.7309","0.1393","12.3822","15.6345","0.1302","3054.0857","19593.2101","0.0964","2868.4876","16541.0284","0.1095"
"0.5526","0.6469","18.6508","73.1398","0.1349","43.4814","55.0102","0.1932","7703.9087","71716.2824","0.1349","5013.3525","27039.1938","0.1186"
"0.3964","0.8212","8.9818","39.2185","0.1223","10.2936","26.2888","0.1329","16844.6455","281990.3541","0.1340","7808.0613","176464.8299","0.1261"
"0.3721","0.8912","11.5252","53.9953","0.1164","17.7603","35.2743","0.1510","7504.1871","54562.7537","0.1384","4094.3749","28863.8011","0.1280"
"0.6792","0.7547","17.6389","30.2023","0.1667","45.7000","27.0621","0.1250","6900.9444","22753.3808","0.1389","3150.0250","9748.7784","0.1000"
"0.7100","0.8225","20.8720","69.1180","0.0976","30.9684","64.7604","0.1211","1886.8902","3582.7128","0.1037","2166.6368","4887.0928","0.1158"
"0.3154","0.9615","22.3171","123.0584","0.1585","36.1960","70.9622","0.1560","6443.6707","32169.4517","0.1463","5114.9840","26772.0642","0.1280"
