"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"unknown-#TCisNoJoke","1365","0.3084","0.9114","16.4774","65.1050","0.0000","0.1401","14.3087","36.9291","-1.0000","-1.0000","5854.7767","28226.4920","0.0000","0.1306","3516.3376","23078.7575","0.0000","0.1262"
"#GERD","674","0.5104","0.7596","13.6483","30.4705","0.0000","0.1366","28.2793","22.1306","0.0000","0.1621","5164.2064","21705.7530","0.0000","0.1366","5781.4805","62998.8875","0.0000","0.1270"
"#Congestionnasal","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Peyronies","72","0.5972","0.7222","7.0698","10.4161","0.0000","0.0465","4.1538","4.7604","0.0000","0.0385","2274.3256","5432.5034","0.0000","0.1163","2168.9038","5512.9883","0.0000","0.1538"
"#Thrombosis","551","0.4301","0.9074","20.3165","124.1208","0.0000","0.1266","19.0700","85.8430","0.0000","0.1340","2176.6034","5155.9585","0.0000","0.1350","1143.9760","3463.3106","0.0000","0.1140"
"#sarcoma","621","0.4187","0.9018","22.3615","130.3322","0.0000","0.1423","28.6446","50.4529","0.0000","0.1286","5155.1500","32750.0935","0.0000","0.1269","3875.9375","26095.2716","0.0000","0.1250"
"#Celiac","2515","0.5519","0.7447","12.7644","66.5459","0.0000","0.1405","23.8703","54.7793","0.0000","0.1506","6174.0901","52384.9501","0.0000","0.1110","4797.7090","41295.7547","0.0000","0.1062"
"#HepB","4356","0.4341","0.8735","13.7985","61.9581","0.0000","0.1089","18.0037","38.4737","0.0000","0.1319","10070.4749","78092.1277","0.0000","0.1301","5864.1816","55546.4833","0.0000","0.1156"
"#Urticaria","75","0.6933","0.7333","57.8462","239.9677","0.0000","0.1346","53.9636","229.9645","0.0000","0.1636","1890.1346","2378.1230","0.0000","0.1346","1820.4909","2363.9746","0.0000","0.0545"
"#SCADheart","45","0.5556","0.9556","6.4000","8.2412","0.0000","0.1200","26.0465","5.0484","0.0000","0.0465","2042.6000","3806.9801","0.0000","0.2000","2242.3023","4287.8697","0.0000","0.1628"
"#ESUS","16","0.5625","0.8125","113.8889","299.3582","-1.0000","-1.0000","137.6923","250.5512","0.0000","0.1538","6958.3333","17962.9981","-1.0000","-1.0000","5702.5385","14816.4720","0.0000","0.0769"
"#AnosmiaHope","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
