bacterial,#BacterialVaginosis,,,,,,,,,,,,,,,,,,
vaginosis,#BacterialVaginosis,,,,,,,,,,,,,,,,,,
bacterialvaginosis,#BacterialVaginosis,,,,,,,,,,,,,,,,,,
batten,#BattenDisease,,,,,,,,,,,,,,,,,,
disease,#GaucherDisease,#BattenDisease,#LiverDisease,#VascularDisease,#LymeDisease,#KidneyDisease,#peripheralarterydisease,#HeartDisease,#KawasakiDisease,,,,,,,,,,
battendisease,#BattenDisease,,,,,,,,,,,,,,,,,,
bedwetting,#Bedwetting,,,,,,,,,,,,,,,,,,
bird,#BirdFlu,,,,,,,,,,,,,,,,,,
birdflu,#BirdFlu,,,,,,,,,,,,,,,,,,
blood,#BloodCancer,#BloodClot,#HighBloodPressure,,,,,,,,,,,,,,,,
cancer,#BloodCancer,#KidneyCancer,#SkinCancer,#BladderCancer,#RectalCancer,#wombcancer,#CervicalCancer,#ThroatCancer,#headandneckcancer,#LiverCancer,#analcancer,#PediatricCancer,#uterinecancer,#ThyroidCancer,#BrainCancer,#CancerChat,#EyeCancer,#NeuroendocrineCancer,#BowelCancer
bloodcancer,#BloodCancer,,,,,,,,,,,,,,,,,,
clot,#BloodClot,,,,,,,,,,,,,,,,,,
bloodclot,#BloodClot,,,,,,,,,,,,,,,,,,
body,#BodyDysmorphicDisorder,,,,,,,,,,,,,,,,,,
dysmorphic,#BodyDysmorphicDisorder,,,,,,,,,,,,,,,,,,
bodydysmorphicdisorder,#BodyDysmorphicDisorder,,,,,,,,,,,,,,,,,,
bowel,#BowelCancer,,,,,,,,,,,,,,,,,,
bowelcancer,#BowelCancer,,,,,,,,,,,,,,,,,,
brain,#BrainAneurysm,#BrainInjury,#BrainCancer,,,,,,,,,,,,,,,,
aneurysm,#BrainAneurysm,,,,,,,,,,,,,,,,,,
brainaneurysm,#BrainAneurysm,,,,,,,,,,,,,,,,,,
braincancer,#BrainCancer,,,,,,,,,,,,,,,,,,
injury,#BrainInjury,#SpinalCordInjury,,,,,,,,,,,,,,,,,
braininjury,#BrainInjury,,,,,,,,,,,,,,,,,,
bronchitis,#Bronchitis,,,,,,,,,,,,,,,,,,
bulimia,#Bulimia,,,,,,,,,,,,,,,,,,
bursitis,#Bursitis,,,,,,,,,,,,,,,,,,
cgrp,#CGRP,,,,,,,,,,,,,,,,,,
cidp,#CIDP,,,,,,,,,,,,,,,,,,
cll,#CLL,,,,,,,,,,,,,,,,,,
cachexia,#Cachexia,,,,,,,,,,,,,,,,,,
candidiasis,#Candidiasis,,,,,,,,,,,,,,,,,,
carcinoid,#Carcinoid,,,,,,,,,,,,,,,,,,
carcinoma,#merkelcellcarcinoma,#Carcinoma,#basalcellcarcinoma,,,,,,,,,,,,,,,,
cardiomyopathy,#Cardiomyopathy,#hypertrophiccardiomyopathy,,,,,,,,,,,,,,,,,
carpal,#CarpalTunnelSyndrome,,,,,,,,,,,,,,,,,,
tunnel,#CarpalTunnelSyndrome,,,,,,,,,,,,,,,,,,
carpaltunnelsyndrome,#CarpalTunnelSyndrome,,,,,,,,,,,,,,,,,,
cauda,#CaudaEquina,,,,,,,,,,,,,,,,,,
equina,#CaudaEquina,,,,,,,,,,,,,,,,,,
caudaequina,#CaudaEquina,,,,,,,,,,,,,,,,,,
cerebral,#Cerebral,,,,,,,,,,,,,,,,,,
cervical,#CervicalCancer,,,,,,,,,,,,,,,,,,
cervicalcancer,#CervicalCancer,,,,,,,,,,,,,,,,,,
charcot,#CharcotMarieTooth,,,,,,,,,,,,,,,,,,
tooth,#CharcotMarieTooth,,,,,,,,,,,,,,,,,,
charcotmarietooth,#CharcotMarieTooth,,,,,,,,,,,,,,,,,,
chiari,#Chiari,,,,,,,,,,,,,,,,,,
chikungunya,#Chikungunya,,,,,,,,,,,,,,,,,,
cholera,#Cholera,,,,,,,,,,,,,,,,,,
cholesteatoma,#Cholesteatoma,,,,,,,,,,,,,,,,,,
chronic,#ChronicMigraine,,,,,,,,,,,,,,,,,,
migraine,#Migraine,,,,,,,,,,,,,,,,,,
chronicmigraine,#ChronicMigraine,,,,,,,,,,,,,,,,,,
churg,#ChurgStrauss,,,,,,,,,,,,,,,,,,
strauss,#ChurgStrauss,,,,,,,,,,,,,,,,,,
churgstrauss,#ChurgStrauss,,,,,,,,,,,,,,,,,,
cirrhosis,#Cirrhosis,,,,,,,,,,,,,,,,,,
colitis,#Colitis,,,,,,,,,,,,,,,,,,
coronavirus,#Coronavirus,,,,,,,,,,,,,,,,,,
cowdenssyndrome,#CowdensSyndrome,,,,,,,,,,,,,,,,,,
cryo,unknown-#CryoGroup,,,,,,,,,,,,,,,,,,
cryptogenic,#CryptogenicStroke,,,,,,,,,,,,,,,,,,
stroke,#CryptogenicStroke,#PediatricStroke,#HeatStroke,,,,,,,,,,,,,,,,
cryptogenicstroke,#CryptogenicStroke,,,,,,,,,,,,,,,,,,
cushings,#Cushings,,,,,,,,,,,,,,,,,,
cyclic,#CyclicVomitingSyndrome,,,,,,,,,,,,,,,,,,
vomiting,#CyclicVomitingSyndrome,,,,,,,,,,,,,,,,,,
cyclicvomitingsyndrome,#CyclicVomitingSyndrome,,,,,,,,,,,,,,,,,,
deafness,#Deafness,,,,,,,,,,,,,,,,,,
dementia,#Dementia,,,,,,,,,,,,,,,,,,
dengue,#Dengue,,,,,,,,,,,,,,,,,,
dermatomyositis,#Dermatomyositis,,,,,,,,,,,,,,,,,,
deviated,#DeviatedSeptum,,,,,,,,,,,,,,,,,,
septum,#DeviatedSeptum,,,,,,,,,,,,,,,,,,
deviatedseptum,#DeviatedSeptum,,,,,,,,,,,,,,,,,,
dialysis,#Dialysis,,,,,,,,,,,,,,,,,,
diverticulitis,#Diverticulitis,,,,,,,,,,,,,,,,,,
downsyndrome,#DownSyndrome,,,,,,,,,,,,,,,,,,
duchenne,#Duchenne,,,,,,,,,,,,,,,,,,
dysautonomia,#Dysautonomia,,,,,,,,,,,,,,,,,,
dyslexia,#Dyslexia,,,,,,,,,,,,,,,,,,
coli,#EColi,,,,,,,,,,,,,,,,,,
ecoli,#EColi,,,,,,,,,,,,,,,,,,
eds,#EDS,,,,,,,,,,,,,,,,,,
esrd,#ESRD,,,,,,,,,,,,,,,,,,
ebola,#Ebola,,,,,,,,,,,,,,,,,,
eclampsia,#Eclampsia,,,,,,,,,,,,,,,,,,
eczema,#Eczema,,,,,,,,,,,,,,,,,,
ehlers,#EhlersDanlos,,,,,,,,,,,,,,,,,,
danlos,#EhlersDanlos,,,,,,,,,,,,,,,,,,
ehlersdanlos,#EhlersDanlos,,,,,,,,,,,,,,,,,,
emanuel,#EmanuelSyndrome,,,,,,,,,,,,,,,,,,
emanuelsyndrome,#EmanuelSyndrome,,,,,,,,,,,,,,,,,,
encephalitis,#Encephalitis,,,,,,,,,,,,,,,,,,
endometriosis,#Endometriosis,,,,,,,,,,,,,,,,,,
enterovirus,#Enterovirus68,,,,,,,,,,,,,,,,,,
enterovirus68,#Enterovirus68,,,,,,,,,,,,,,,,,,
epidermolysis,#EpidermolysisBullosa,,,,,,,,,,,,,,,,,,
bullosa,#EpidermolysisBullosa,,,,,,,,,,,,,,,,,,
epidermolysisbullosa,#EpidermolysisBullosa,,,,,,,,,,,,,,,,,,
epilepsy,#Epilepsy,,,,,,,,,,,,,,,,,,
eyecancer,#EyeCancer,,,,,,,,,,,,,,,,,,
fgid,#FGID,,,,,,,,,,,,,,,,,,
facial,#FacialDisfigurement,,,,,,,,,,,,,,,,,,
disfigurement,#FacialDisfigurement,,,,,,,,,,,,,,,,,,
facialdisfigurement,#FacialDisfigurement,,,,,,,,,,,,,,,,,,
gerd,#GERD,,,,,,,,,,,,,,,,,,
gallbladder,#Gallbladder,,,,,,,,,,,,,,,,,,
gastroparesis,#Gastroparesis,,,,,,,,,,,,,,,,,,
gaucher,#GaucherDisease,,,,,,,,,,,,,,,,,,
gaucherdisease,#GaucherDisease,,,,,,,,,,,,,,,,,,
gestationaldiabetes,#Gestationaldiabetes,,,,,,,,,,,,,,,,,,
gout,#Gout,,,,,,,,,,,,,,,,,,
gvhd,#GvHD,,,,,,,,,,,,,,,,,,
hpv,#HPV,,,,,,,,,,,,,,,,,,
haemochromatosis,#Haemochromatosis,,,,,,,,,,,,,,,,,,
halitosis,#Halitosis,,,,,,,,,,,,,,,,,,
hantavirus,#Hantavirus,,,,,,,,,,,,,,,,,,
hearing,#HearingLoss,,,,,,,,,,,,,,,,,,
loss,#MemoryLoss,#HearingLoss,,,,,,,,,,,,,,,,,
hearingloss,#HearingLoss,,,,,,,,,,,,,,,,,,
heart,#HeartFailure,#HeartDisease,,,,,,,,,,,,,,,,,
heartdisease,#HeartDisease,,,,,,,,,,,,,,,,,,
failure,#HeartFailure,#IntestinalFailure,#RenalFailure,,,,,,,,,,,,,,,,
heartfailure,#HeartFailure,,,,,,,,,,,,,,,,,,
heat,#HeatStroke,,,,,,,,,,,,,,,,,,
heatstroke,#HeatStroke,,,,,,,,,,,,,,,,,,
hemiplegic,#HemiplegicMigraine,,,,,,,,,,,,,,,,,,
hemiplegicmigraine,#HemiplegicMigraine,,,,,,,,,,,,,,,,,,
hendra,#HendraVirus,,,,,,,,,,,,,,,,,,
virus,#HendraVirus,,,,,,,,,,,,,,,,,,
hendravirus,#HendraVirus,,,,,,,,,,,,,,,,,,
hernia,#Hernia,,,,,,,,,,,,,,,,,,
herpes,#Herpes,,,,,,,,,,,,,,,,,,
hidradenitis,#Hidradenitis,#hidradenitissuppurativa,,,,,,,,,,,,,,,,,
hives,#Hives,,,,,,,,,,,,,,,,,,
hofh,#HoFH,,,,,,,,,,,,,,,,,,
huntingtonsdisease,#Huntingtonsdisease,,,,,,,,,,,,,,,,,,
hyperglycemia,#Hyperglycemia,,,,,,,,,,,,,,,,,,
hypermobility,#Hypermobility,,,,,,,,,,,,,,,,,,
hypochondria,#Hypochondria,,,,,,,,,,,,,,,,,,
hypothyroidism,#Hypothyroidism,,,,,,,,,,,,,,,,,,
ibd,#IBD,,,,,,,,,,,,,,,,,,
ibs,#IBS,,,,,,,,,,,,,,,,,,
iih,#IIH,,,,,,,,,,,,,,,,,,
ichthyosis,#Ichthyosis,,,,,,,,,,,,,,,,,,
incontinence,#Incontinence,,,,,,,,,,,,,,,,,,
infertility,#SecondaryInfertility,#Infertility,,,,,,,,,,,,,,,,,
intestinal,#IntestinalFailure,,,,,,,,,,,,,,,,,,
intestinalfailure,#IntestinalFailure,,,,,,,,,,,,,,,,,,
kawasaki,#KawasakiDisease,,,,,,,,,,,,,,,,,,
kawasakidisease,#KawasakiDisease,,,,,,,,,,,,,,,,,,
keratosis,#KeratosisPilaris,,,,,,,,,,,,,,,,,,
pilaris,#KeratosisPilaris,,,,,,,,,,,,,,,,,,
keratosispilaris,#KeratosisPilaris,,,,,,,,,,,,,,,,,,
kidney,#KidneyCancer,#KidneyDisease,#KidneyStones,,,,,,,,,,,,,,,,
kidneycancer,#KidneyCancer,,,,,,,,,,,,,,,,,,
kidneydisease,#KidneyDisease,,,,,,,,,,,,,,,,,,
kidneystones,#KidneyStones,,,,,,,,,,,,,,,,,,
legionnaires,#Legionnaires,,,,,,,,,,,,,,,,,,
leprosy,#Leprosy,,,,,,,,,,,,,,,,,,
leptospirosis,#Leptospirosis,,,,,,,,,,,,,,,,,,
fraumeni,#LiFraumeni,,,,,,,,,,,,,,,,,,
lifraumeni,#LiFraumeni,,,,,,,,,,,,,,,,,,
listeriosis,#Listeriosis,,,,,,,,,,,,,,,,,,
liver,#FattyLiver,#LiverDisease,#LiverCancer,,,,,,,,,,,,,,,,
livercancer,#LiverCancer,,,,,,,,,,,,,,,,,,
liverdisease,#LiverDisease,,,,,,,,,,,,,,,,,,
nknown-#betterlclives,unknown-#BetterLCLives,,,,,,,,,,,,,,,,,,
lyme,#LymeDisease,,,,,,,,,,,,,,,,,,
lymedisease,#LymeDisease,,,,,,,,,,,,,,,,,,
lynch,#LynchSyndrome,,,,,,,,,,,,,,,,,,
lynchsyndrome,#LynchSyndrome,,,,,,,,,,,,,,,,,,
mers,#MERS,,,,,,,,,,,,,,,,,,
mrkh,#MRKH,,,,,,,,,,,,,,,,,,
macular,#MacularDegeneration,,,,,,,,,,,,,,,,,,
degeneration,#MacularDegeneration,,,,,,,,,,,,,,,,,,
maculardegeneration,#MacularDegeneration,,,,,,,,,,,,,,,,,,
endmalaria,unknown-#Endmalaria,,,,,,,,,,,,,,,,,,
marfan,#Marfan,,,,,,,,,,,,,,,,,,
mastocytosis,#Mastocytosis,,,,,,,,,,,,,,,,,,
mdrtb,#MdrTB,,,,,,,,,,,,,,,,,,
melanoma,#Melanoma,,,,,,,,,,,,,,,,,,
memory,#MemoryLoss,,,,,,,,,,,,,,,,,,
memoryloss,#MemoryLoss,,,,,,,,,,,,,,,,,,
menieres,#Menieres,,,,,,,,,,,,,,,,,,
meningitis,#Meningitis,,,,,,,,,,,,,,,,,,
mesothelioma,#Mesothelioma,,,,,,,,,,,,,,,,,,
moebius,#MoebiusSyndrome,,,,,,,,,,,,,,,,,,
moebiussyndrome,#MoebiusSyndrome,,,,,,,,,,,,,,,,,,
moyamoya,#Moyamoya,,,,,,,,,,,,,,,,,,
endocrine,#MultipleEndocrineNeoplasia,,,,,,,,,,,,,,,,,,
neoplasia,#MultipleEndocrineNeoplasia,,,,,,,,,,,,,,,,,,
multipleendocrineneoplasia,#MultipleEndocrineNeoplasia,,,,,,,,,,,,,,,,,,
muscular,#MuscularDystrophy,,,,,,,,,,,,,,,,,,
dystrophy,#MuscularDystrophy,,,,,,,,,,,,,,,,,,
musculardystrophy,#MuscularDystrophy,,,,,,,,,,,,,,,,,,
myalgic,#MyalgicE,,,,,,,,,,,,,,,,,,
myalgice,#MyalgicE,,,,,,,,,,,,,,,,,,
myasthenia,#MyastheniaGravis,,,,,,,,,,,,,,,,,,
gravis,#MyastheniaGravis,,,,,,,,,,,,,,,,,,
myastheniagravis,#MyastheniaGravis,,,,,,,,,,,,,,,,,,
myositis,#Myositis,,,,,,,,,,,,,,,,,,
ncds,#NCDs,,,,,,,,,,,,,,,,,,
narcolepsy,#Narcolepsy,,,,,,,,,,,,,,,,,,
neuroblastoma,#Neuroblastoma,,,,,,,,,,,,,,,,,,
neuroendocrine,#NeuroendocrineTumors,#NeuroendocrineCancer,,,,,,,,,,,,,,,,,
neuroendocrinecancer,#NeuroendocrineCancer,,,,,,,,,,,,,,,,,,
tumors,#NeuroendocrineTumors,,,,,,,,,,,,,,,,,,
neuroendocrinetumors,#NeuroendocrineTumors,,,,,,,,,,,,,,,,,,
neuropathy,#Neuropathy,,,,,,,,,,,,,,,,,,
nocturia,#Nocturia,,,,,,,,,,,,,,,,,,
ocd,#OCD,,,,,,,,,,,,,,,,,,
obesity,#Obesity,,,,,,,,,,,,,,,,,,
osteoarthritis,#Osteoarthritis,,,,,,,,,,,,,,,,,,
osteogenesis,#OsteogenesisImperfecta,,,,,,,,,,,,,,,,,,
imperfecta,#OsteogenesisImperfecta,,,,,,,,,,,,,,,,,,
osteogenesisimperfecta,#OsteogenesisImperfecta,,,,,,,,,,,,,,,,,,
osteoporosis,#Osteoporosis,,,,,,,,,,,,,,,,,,
osteosarcoma,#Osteosarcoma,,,,,,,,,,,,,,,,,,
pcos,#PCOS,,,,,,,,,,,,,,,,,,
pmdd,#PMDD,,,,,,,,,,,,,,,,,,
ptsd,#PTSD,,,,,,,,,,,,,,,,,,
paget,#Paget,,,,,,,,,,,,,,,,,,
pain,#PainSomnia,,,,,,,,,,,,,,,,,,
somnia,#PainSomnia,,,,,,,,,,,,,,,,,,
painsomnia,#PainSomnia,,,,,,,,,,,,,,,,,,
parkinsons,#Parkinsons,,,,,,,,,,,,,,,,,,
allergy,#PeanutAllergy,,,,,,,,,,,,,,,,,,
peanutallergy,#PeanutAllergy,,,,,,,,,,,,,,,,,,
pediatric,#PediatricCancer,#PediatricStroke,,,,,,,,,,,,,,,,,
pediatriccancer,#PediatricCancer,,,,,,,,,,,,,,,,,,
pediatricstroke,#PediatricStroke,,,,,,,,,,,,,,,,,,
plantar,#PlantarFascitis,,,,,,,,,,,,,,,,,,
fascitis,#PlantarFascitis,,,,,,,,,,,,,,,,,,
plantarfascitis,#PlantarFascitis,,,,,,,,,,,,,,,,,,
pneumonia,#Pneumonia,,,,,,,,,,,,,,,,,,
polio,#Polio,,,,,,,,,,,,,,,,,,
polycystic,#PolycysticOvarianSyndrome,,,,,,,,,,,,,,,,,,
ovarian,#PolycysticOvarianSyndrome,,,,,,,,,,,,,,,,,,
polycysticovariansyndrome,#PolycysticOvarianSyndrome,,,,,,,,,,,,,,,,,,
polymyalgia,#Polymyalgia,,,,,,,,,,,,,,,,,,
pompe,#Pompe,,,,,,,,,,,,,,,,,,
preeclampsia,#Preeclampsia,,,,,,,,,,,,,,,,,,
progeria,#Progeria,,,,,,,,,,,,,,,,,,
pcsm,unknown-#PCSM,,,,,,,,,,,,,,,,,,
psoriasis,#Psoriasis,,,,,,,,,,,,,,,,,,
psoriatic,#PsoriaticArthritis,,,,,,,,,,,,,,,,,,
arthritis,#Arthritis,,,,,,,,,,,,,,,,,,
psoriaticarthritis,#PsoriaticArthritis,,,,,,,,,,,,,,,,,,
pulmonary,#PulmonaryHypertension,#PulmonaryEmbolism,,,,,,,,,,,,,,,,,
embolism,#PulmonaryEmbolism,,,,,,,,,,,,,,,,,,
pulmonaryembolism,#PulmonaryEmbolism,,,,,,,,,,,,,,,,,,
hypertension,#PulmonaryHypertension,,,,,,,,,,,,,,,,,,
pulmonaryhypertension,#PulmonaryHypertension,,,,,,,,,,,,,,,,,,
raynauds,#Raynauds,,,,,,,,,,,,,,,,,,
rectal,#RectalCancer,,,,,,,,,,,,,,,,,,
rectalcancer,#RectalCancer,,,,,,,,,,,,,,,,,,
renal,#RenalFailure,,,,,,,,,,,,,,,,,,
renalfailure,#RenalFailure,,,,,,,,,,,,,,,,,,
restenosis,#Restenosis,,,,,,,,,,,,,,,,,,
retinoblastoma,#Retinoblastoma,,,,,,,,,,,,,,,,,,
rett,#RettSyndrome,,,,,,,,,,,,,,,,,,
rettsyndrome,#RettSyndrome,,,,,,,,,,,,,,,,,,
rhabdomyosarcoma,#Rhabdomyosarcoma,,,,,,,,,,,,,,,,,,
fever,#RiftValleyFever,#YellowFever,,,,,,,,,,,,,,,,,
riftvalleyfever,#RiftValleyFever,,,,,,,,,,,,,,,,,,
sars,#SARS,,,,,,,,,,,,,,,,,,
scad,#SCADheart,,,,,,,,,,,,,,,,,,
scadheart,#SCADheart,,,,,,,,,,,,,,,,,,
sids,#SIDS,,,,,,,,,,,,,,,,,,
sle,#SLE,,,,,,,,,,,,,,,,,,
std,#STD,,,,,,,,,,,,,,,,,,
stemi,#STEMI,,,,,,,,,,,,,,,,,,
sarcoidosis,#Sarcoidosis,,,,,,,,,,,,,,,,,,
sarcopenia,#Sarcopenia,,,,,,,,,,,,,,,,,,
sciatica,#Sciatica,,,,,,,,,,,,,,,,,,
scoliosis,#Scoliosis,,,,,,,,,,,,,,,,,,
secondary,#SecondaryInfertility,,,,,,,,,,,,,,,,,,
secondaryinfertility,#SecondaryInfertility,,,,,,,,,,,,,,,,,,
seizures,#Seizures,,,,,,,,,,,,,,,,,,
sepsis,#Sepsis,,,,,,,,,,,,,,,,,,
shakenbabyfacts,#ShakenBabyFacts,,,,,,,,,,,,,,,,,,
shingles,#Shingles,,,,,,,,,,,,,,,,,,
skin,#SkinCancer,#skintag,,,,,,,,,,,,,,,,,
skincancer,#SkinCancer,,,,,,,,,,,,,,,,,,
sleep,#SleepDisorder,#SleepApnea,,,,,,,,,,,,,,,,,
apnea,#SleepApnea,,,,,,,,,,,,,,,,,,
sleepapnea,#SleepApnea,,,,,,,,,,,,,,,,,,
sleepdisorder,#SleepDisorder,,,,,,,,,,,,,,,,,,
spondylitis,#ankylosingspondylitis,#Spondylitis,,,,,,,,,,,,,,,,,
stevensjohnsonsyndrome,#StevensJohnsonSyndrome,,,,,,,,,,,,,,,,,,
stiff,#StiffPersonSyndrome,,,,,,,,,,,,,,,,,,
stiffpersonsyndrome,#StiffPersonSyndrome,,,,,,,,,,,,,,,,,,
synesthesia,#Synesthesia,,,,,,,,,,,,,,,,,,
systemic,#SystemicSclerosis,,,,,,,,,,,,,,,,,,
sclerosis,#SystemicSclerosis,,,,,,,,,,,,,,,,,,
systemicsclerosis,#SystemicSclerosis,,,,,,,,,,,,,,,,,,
tbi,#TBI,,,,,,,,,,,,,,,,,,
tnbc,#TNBC,,,,,,,,,,,,,,,,,,
tscomplex,#TSComplex,,,,,,,,,,,,,,,,,,
elbow,#TennisElbow,,,,,,,,,,,,,,,,,,
tenniselbow,#TennisElbow,,,,,,,,,,,,,,,,,,
thalassemia,#Thalassemia,,,,,,,,,,,,,,,,,,
throat,#ThroatCancer,,,,,,,,,,,,,,,,,,
throatcancer,#ThroatCancer,,,,,,,,,,,,,,,,,,
tinnitus,#Tinnitus,,,,,,,,,,,,,,,,,,
transverse,#TransverseMyelitis,,,,,,,,,,,,,,,,,,
myelitis,#TransverseMyelitis,,,,,,,,,,,,,,,,,,
transversemyelitis,#TransverseMyelitis,,,,,,,,,,,,,,,,,,
trichotillomania,#Trichotillomania,,,,,,,,,,,,,,,,,,
trigeminal,#TrigeminalNeuralgia,,,,,,,,,,,,,,,,,,
neuralgia,#TrigeminalNeuralgia,,,,,,,,,,,,,,,,,,
trigeminalneuralgia,#TrigeminalNeuralgia,,,,,,,,,,,,,,,,,,
triglycerides,#Triglycerides,,,,,,,,,,,,,,,,,,
tuberculosis,#Tuberculosis,,,,,,,,,,,,,,,,,,
uti,#UTI,,,,,,,,,,,,,,,,,,
urticaria,#Urticaria,,,,,,,,,,,,,,,,,,
varicose,#Varicose,,,,,,,,,,,,,,,,,,
vascular,#VascularDisease,,,,,,,,,,,,,,,,,,
vasculardisease,#VascularDisease,,,,,,,,,,,,,,,,,,
vasculitis,#Vasculitis,,,,,,,,,,,,,,,,,,
visual,#VisualSnow,,,,,,,,,,,,,,,,,,
visualsnow,#VisualSnow,,,,,,,,,,,,,,,,,,
yeast,#YeastInfection,,,,,,,,,,,,,,,,,,
infection,#YeastInfection,,,,,,,,,,,,,,,,,,
yeastinfection,#YeastInfection,,,,,,,,,,,,,,,,,,
yellowfever,#YellowFever,,,,,,,,,,,,,,,,,,
ahus,#aHUS,,,,,,,,,,,,,,,,,,
acoustic,#acousticneuroma,,,,,,,,,,,,,,,,,,
neuro,#acousticneuroma,#neurofibromatosis,,,,,,,,,,,,,,,,,
acousticneuroma,#acousticneuroma,,,,,,,,,,,,,,,,,,
denom,#adenomyosis,,,,,,,,,,,,,,,,,,
adenomyosis,#adenomyosis,,,,,,,,,,,,,,,,,,
ankylosing,#ankylosingspondylitis,,,,,,,,,,,,,,,,,,
ankylosingspondylitis,#ankylosingspondylitis,,,,,,,,,,,,,,,,,,
appendicitis,#appendicitis,,,,,,,,,,,,,,,,,,
basal,#basalcellcarcinoma,,,,,,,,,,,,,,,,,,
cell,#merkelcellcarcinoma,#SickleCell,#basalcellcarcinoma,,,,,,,,,,,,,,,,
basalcellcarcinoma,#basalcellcarcinoma,,,,,,,,,,,,,,,,,,
bruce,#brucellosis,,,,,,,,,,,,,,,,,,
brucellosis,#brucellosis,,,,,,,,,,,,,,,,,,
chicken,#chickenpox,,,,,,,,,,,,,,,,,,
chickenpox,#chickenpox,,,,,,,,,,,,,,,,,,
colic,#colic,,,,,,,,,,,,,,,,,,
cures,#curesma,,,,,,,,,,,,,,,,,,
curesma,#curesma,,,,,,,,,,,,,,,,,,
delirium,#delirium,,,,,,,,,,,,,,,,,,
devlangdis,#devlangdis,,,,,,,,,,,,,,,,,,
dupuytrens,#dupuytrens,,,,,,,,,,,,,,,,,,
enuresis,#enuresis,,,,,,,,,,,,,,,,,,
eosinophilicesophag,#eosinophilicesophagitis,,,,,,,,,,,,,,,,,,
eosinophilicesophagitis,#eosinophilicesophagitis,,,,,,,,,,,,,,,,,,
erectile,#erectiledysfunction,,,,,,,,,,,,,,,,,,
dysfunction,#erectiledysfunction,,,,,,,,,,,,,,,,,,
erectiledysfunction,#erectiledysfunction,,,,,,,,,,,,,,,,,,
fracture,#fracture,,,,,,,,,,,,,,,,,,
fragile,#fragileX,,,,,,,,,,,,,,,,,,
fragilex,#fragileX,,,,,,,,,,,,,,,,,,
giardia,#giardia,,,,,,,,,,,,,,,,,,
glaucoma,#glaucoma,,,,,,,,,,,,,,,,,,
hayfever,#hayfever,,,,,,,,,,,,,,,,,,
head,#headandneckcancer,,,,,,,,,,,,,,,,,,
neck,#headandneckcancer,,,,,,,,,,,,,,,,,,
headandneckcancer,#headandneckcancer,,,,,,,,,,,,,,,,,,
suppurativa,#hidradenitissuppurativa,,,,,,,,,,,,,,,,,,
hidradenitissuppurativa,#hidradenitissuppurativa,,,,,,,,,,,,,,,,,,
