acne,#ACNE,,,,,,,,,,,,,,,,,,
adhd,#ADHD,,,,,,,,,,,,,,,,,,
adpkd,#ADPKD,,,,,,,,,,,,,,,,,,
ards,#ARDS45,,,,,,,,,,,,,,,,,,
ards45,#ARDS45,,,,,,,,,,,,,,,,,,
acute,#AcuteCoronarySyndrome,,,,,,,,,,,,,,,,,,
coronary,#AcuteCoronarySyndrome,,,,,,,,,,,,,,,,,,
syndrome,#RettSyndrome,#HunterSyndrome,#CowdensSyndrome,#DownSyndrome,#PolycysticOvarianSyndrome,#LynchSyndrome,#CarpalTunnelSyndrome,#StiffPersonSyndrome,#AcuteCoronarySyndrome,#MoebiusSyndrome,#CyclicVomitingSyndrome,#StevensJohnsonSyndrome,#EmanuelSyndrome,,,,,,
acutecoronarysyndrome,#AcuteCoronarySyndrome,,,,,,,,,,,,,,,,,,
adhesions,#Adhesions,,,,,,,,,,,,,,,,,,
allergic,#AllergicRhinitis,,,,,,,,,,,,,,,,,,
rhinitis,#Rhinitis,,,,,,,,,,,,,,,,,,
allergicrhinitis,#AllergicRhinitis,,,,,,,,,,,,,,,,,,
amyloidosis,#Amyloidosis,,,,,,,,,,,,,,,,,,
anaphylaxis,#Anaphylaxis,,,,,,,,,,,,,,,,,,
andropause,#Andropause,,,,,,,,,,,,,,,,,,
angina,#Angina,,,,,,,,,,,,,,,,,,
angiosarcoma,#Angiosarcoma,,,,,,,,,,,,,,,,,,
anorexia,#AnorexiaNervosa,,,,,,,,,,,,,,,,,,
nervosa,#AnorexiaNervosa,,,,,,,,,,,,,,,,,,
anorexianervosa,#AnorexiaNervosa,,,,,,,,,,,,,,,,,,
anosmia,#AnosmiaHope,,,,,,,,,,,,,,,,,,
hope,#AnosmiaHope,,,,,,,,,,,,,,,,,,
anosmiahope,#AnosmiaHope,,,,,,,,,,,,,,,,,,
anxiety,#AnxietyDisorder,,,,,,,,,,,,,,,,,,
disorder,#BodyDysmorphicDisorder,#SleepDisorder,#EatingDisorder,#AnxietyDisorder,#BleedingDisorder,,,,,,,,,,,,,,
anxietydisorder,#AnxietyDisorder,,,,,,,,,,,,,,,,,,
aortic,#AorticDissection,,,,,,,,,,,,,,,,,,
dissection,#AorticDissection,,,,,,,,,,,,,,,,,,
aorticdissection,#AorticDissection,,,,,,,,,,,,,,,,,,
arachnoiditis,#Arachnoiditis,,,,,,,,,,,,,,,,,,
asbestosis,#Asbestosis,,,,,,,,,,,,,,,,,,
aspergers,#Aspergers,,,,,,,,,,,,,,,,,,
ataxia,#Ataxia,,,,,,,,,,,,,,,,,,
atherosclerosis,#Atherosclerosis,,,,,,,,,,,,,,,,,,
autism,#Autism,,,,,,,,,,,,,,,,,,
autoimmune,#Autoimmune,,,,,,,,,,,,,,,,,,
bmfsm,#BMFSM,,,,,,,,,,,,,,,,,,
bpd,#BPD,,,,,,,,,,,,,,,,,,
